plot_type,n_variants,n_samples,n_values,dpi,average,cycle_0,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9
pcolorfast,50,100,5000,100,0.06096796989440918,0.0473175048828125,0.06240272521972656,0.06253838539123535,0.062458038330078125,0.062148332595825195,0.06251144409179688,0.06293892860412598,0.07803511619567871,0.062134742736816406,0.047194480895996094
pcolormesh,50,100,5000,100,0.4687489986419678,0.43756985664367676,0.4685215950012207,0.45326685905456543,0.43719005584716797,0.4531238079071045,0.6406364440917969,0.45343446731567383,0.4375193119049072,0.4531223773956299,0.45310521125793457
matshow,50,100,5000,100,0.06250455379486083,0.06249690055847168,0.06220126152038574,0.047258853912353516,0.06247854232788086,0.06215023994445801,0.0629122257232666,0.0620722770690918,0.06288313865661621,0.0467989444732666,0.09379315376281738
imshow,50,100,5000,100,0.05934150218963623,0.046858787536621094,0.0626373291015625,0.062026023864746094,0.047188520431518555,0.07817196846008301,0.04691004753112793,0.06213259696960449,0.04721403121948242,0.062140703201293945,0.07813501358032227
pcolorfast,50,100,5000,150,0.0781250238418579,0.06251287460327148,0.07811570167541504,0.07812929153442383,0.07815051078796387,0.07811117172241211,0.06247973442077637,0.07814383506774902,0.07811117172241211,0.09375977516174316,0.09373617172241211
pcolormesh,50,100,5000,150,0.4656592845916748,0.46875715255737305,0.5159902572631836,0.43744468688964844,0.48408007621765137,0.4376959800720215,0.4844977855682373,0.43747377395629883,0.46843791007995605,0.43752503395080566,0.48469018936157227
matshow,50,100,5000,150,0.06094496250152588,0.04684734344482422,0.0626075267791748,0.04678750038146973,0.06248283386230469,0.07812356948852539,0.06252789497375488,0.06252217292785645,0.06249856948852539,0.06248068809509277,0.06257152557373047
imshow,50,100,5000,150,0.062493085861206055,0.06249189376831055,0.06243157386779785,0.04687309265136719,0.06260442733764648,0.09331417083740234,0.0625159740447998,0.06248068809509277,0.046890974044799805,0.06289863586425781,0.06242942810058594
pcolorfast,50,100,5000,200,0.06403253078460694,0.0625143051147461,0.04689383506774902,0.07813882827758789,0.06241250038146973,0.06255316734313965,0.062169551849365234,0.06281852722167969,0.0782172679901123,0.06245136260986328,0.062155961990356445
pcolormesh,50,100,5000,200,0.4562704086303711,0.4221196174621582,0.4531545639038086,0.42188310623168945,0.453136682510376,0.4528019428253174,0.5315468311309814,0.4844174385070801,0.4374856948852539,0.4531080722808838,0.4530501365661621
matshow,50,100,5000,200,0.06406867504119873,0.06265497207641602,0.062493324279785156,0.06247830390930176,0.06214618682861328,0.07850456237792969,0.06244611740112305,0.062171220779418945,0.06251955032348633,0.04723811149597168,0.0780344009399414
imshow,50,100,5000,200,0.057819247245788574,0.04688620567321777,0.06252002716064453,0.046858787536621094,0.06259393692016602,0.06247997283935547,0.06250166893005371,0.046822309494018555,0.062162160873413086,0.06282925605773926,0.06253814697265625
