Operation,Average,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Indexing,11.770976352691651,11.962657928466797,11.829610347747803,11.819409847259521,11.76680874824524,11.696680545806885,11.734062910079956,11.748223304748535,11.76990556716919,11.688217878341675,11.694186449050903
Pos filtering,0.03095707893371582,0.03300023078918457,0.031000137329101562,0.03299880027770996,0.029026031494140625,0.029000520706176758,0.029045581817626953,0.03099822998046875,0.03524899482727051,0.0292510986328125,0.030001163482666016
Pos and qual filtering,0.0291959285736084,0.031000137329101562,0.02799677848815918,0.02999567985534668,0.027982473373413086,0.0280001163482666,0.02801799774169922,0.028999805450439453,0.030034303665161133,0.029932022094726562,0.029999971389770508
Case-control splitting,0.05702474117279053,0.08077192306518555,0.05300021171569824,0.05800485610961914,0.0514836311340332,0.055988311767578125,0.05494427680969238,0.0540003776550293,0.05395102500915527,0.05609703063964844,0.052005767822265625
One shot filter and split,0.06341562271118165,0.08704233169555664,0.0610196590423584,0.06899833679199219,0.06399941444396973,0.06112074851989746,0.05999875068664551,0.05699896812438965,0.05804157257080078,0.057943105697631836,0.05899333953857422
Read case and ctrl in to memory,0.06244328022003174,0.06098818778991699,0.0621340274810791,0.062100887298583984,0.06399750709533691,0.06409931182861328,0.062104225158691406,0.0630028247833252,0.06196308135986328,0.061041831970214844,0.06300091743469238
Total (separate operations),11.919640302658081,12.135418176651001,11.97274136543274,11.969511270523071,11.910272359848022,11.844768285751343,11.879129409790039,11.894226312637329,11.91585397720337,11.835288763046265,11.839193105697632
Total (one shot),11.896835255622864,12.11068844795227,11.95276403427124,11.950509071350098,11.894805669784546,11.821900606155396,11.856165885925293,11.86822509765625,11.889910221099854,11.807202816009521,11.81618070602417
