Operation,Average,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Indexing,0.04250955581665039,0.0458376407623291,0.04199719429016113,0.04211616516113281,0.04255032539367676,0.042006731033325195,0.044593095779418945,0.046996116638183594,0.04099750518798828,0.03998088836669922,0.03801989555358887
Pos and qual filtering,0.03338367938995361,0.03592634201049805,0.032000064849853516,0.031999826431274414,0.03200030326843262,0.03299689292907715,0.03799557685852051,0.032997846603393555,0.034229278564453125,0.03371000289916992,0.02998065948486328
Read case and ctrl in to memory,0.0004989147186279297,0.0009925365447998047,0.0,0.0009903907775878906,0.0009996891021728516,0.0,0.0010068416595458984,0.0,0.0,0.0,0.0009996891021728516
Case-control splitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Read in to memory,0.013118290901184082,0.013002157211303711,0.014051437377929688,0.014008283615112305,0.013998270034790039,0.015111684799194336,0.012999773025512695,0.015006780624389648,0.008013486862182617,0.012039661407470703,0.012951374053955078
Total,0.08951044082641602,0.09575867652893066,0.08804869651794434,0.08911466598510742,0.08954858779907227,0.09011530876159668,0.09659528732299805,0.0950007438659668,0.08324027061462402,0.08573055267333984,0.08195161819458008
