Operation,Average,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Indexing,0.04267878532409668,0.047037601470947266,0.037947893142700195,0.039017438888549805,0.038011789321899414,0.03802680969238281,0.04443025588989258,0.048093557357788086,0.04648137092590332,0.04704761505126953,0.04069352149963379
Pos filtering,0.03211255073547363,0.03301882743835449,0.031000137329101562,0.03131723403930664,0.030020713806152344,0.03592085838317871,0.031096220016479492,0.035495758056640625,0.030988693237304688,0.03325796127319336,0.029009103775024414
Pos and qual filtering,0.031613850593566896,0.03501439094543457,0.029953479766845703,0.030504226684570312,0.029012203216552734,0.03467679023742676,0.03203892707824707,0.03200411796569824,0.029947280883789062,0.03299570083618164,0.02999138832092285
Case-control splitting,0.07374784946441651,0.07695436477661133,0.07200121879577637,0.0741415023803711,0.07066106796264648,0.07924985885620117,0.07295680046081543,0.0755159854888916,0.0729990005493164,0.0729990005493164,0.06999969482421875
One shot filter and split,0.0752840518951416,0.07895684242248535,0.0709998607635498,0.07401371002197266,0.07300806045532227,0.0803980827331543,0.07204961776733398,0.07384896278381348,0.08255815505981445,0.0720059871673584,0.07500123977661133
Read case and ctrl in to memory,0.013525724411010742,0.017120361328125,0.013002157211303711,0.013000726699829102,0.013990163803100586,0.011002302169799805,0.011996984481811523,0.012019872665405273,0.017124176025390625,0.012994766235351562,0.013005733489990234
Total (separate operations),0.16156620979309083,0.17612671852111816,0.15290474891662598,0.1566638946533203,0.15167522430419922,0.16295576095581055,0.1614229679107666,0.1676335334777832,0.16655182838439941,0.16603708267211914,0.15369033813476562
Total (one shot),0.13148856163024902,0.14311480522155762,0.12194991111755371,0.12603187561035156,0.12501001358032227,0.12942719459533691,0.12847685813903809,0.13396239280700684,0.1461637020111084,0.1320483684539795,0.12870049476623535
