Operation,Average,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Indexing,0.031059932708740235,0.03400850296020508,0.030846118927001953,0.028944730758666992,0.02791428565979004,0.03000354766845703,0.029966354370117188,0.028005599975585938,0.042943716049194336,0.028002023696899414,0.029964447021484375
Pos filtering,0.027742695808410645,0.03049182891845703,0.026548385620117188,0.0332489013671875,0.024999380111694336,0.028054475784301758,0.0259397029876709,0.027028560638427734,0.02809929847717285,0.027940750122070312,0.025075674057006836
Pos and qual filtering,0.02966353893280029,0.04220008850097656,0.024999141693115234,0.04254293441772461,0.024997711181640625,0.031023502349853516,0.027002334594726562,0.029926776885986328,0.02400517463684082,0.025010108947753906,0.024927616119384766
Case-control splitting,0.054004549980163574,0.06099963188171387,0.05568337440490723,0.052108049392700195,0.05300545692443848,0.0581820011138916,0.05288124084472656,0.05517411231994629,0.0489964485168457,0.051995277404785156,0.051019906997680664
One shot filter and split,0.05627472400665283,0.06702780723571777,0.05021381378173828,0.05502486228942871,0.05200052261352539,0.054242610931396484,0.056079864501953125,0.05547189712524414,0.05007600784301758,0.05399942398071289,0.06861042976379395
Read case and ctrl in to memory,0.0632781744003296,0.06107807159423828,0.06498122215270996,0.06499481201171875,0.06499791145324707,0.06331205368041992,0.06396031379699707,0.0633237361907959,0.06397080421447754,0.06209611892700195,0.06006669998168945
Total (separate operations),0.17800619602203369,0.1982862949371338,0.17650985717773438,0.18859052658081055,0.1709153652191162,0.18252110481262207,0.17381024360656738,0.17643022537231445,0.1799161434173584,0.16710352897644043,0.16597867012023926
Total (one shot),0.15061283111572266,0.16211438179016113,0.1460411548614502,0.14896440505981445,0.1449127197265625,0.14755821228027344,0.15000653266906738,0.14680123329162598,0.15699052810668945,0.14409756660461426,0.15864157676696777
