Operation,Average,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Indexing,0.031019425392150878,0.03495144844055176,0.027875185012817383,0.030767440795898438,0.02892017364501953,0.03095078468322754,0.03508591651916504,0.028943777084350586,0.030004262924194336,0.030188798904418945,0.032506465911865234
Pos and qual filtering,0.02677807807922363,0.02820873260498047,0.02613973617553711,0.024961471557617188,0.028034448623657227,0.025003671646118164,0.031296730041503906,0.02804088592529297,0.023972034454345703,0.0281217098236084,0.024001359939575195
Read case and ctrl in to memory,0.000299072265625,0.0,0.0009849071502685547,0.0010018348693847656,0.0,0.0,0.0,0.0,0.0,0.0010039806365966797,0.0
Case-control splitting,0.00097963809967041,0.0010113716125488281,0.0010046958923339844,0.0010001659393310547,0.0009975433349609375,0.001001596450805664,0.000972747802734375,0.0009732246398925781,0.0009355545043945312,0.0009469985961914062,0.0009524822235107422
Read in to memory,0.0593858003616333,0.07030940055847168,0.05595850944519043,0.05408287048339844,0.05700492858886719,0.06017017364501953,0.0720829963684082,0.05504202842712402,0.05709075927734375,0.054023027420043945,0.05809330940246582
Total,0.11846201419830323,0.13448095321655273,0.11196303367614746,0.11181378364562988,0.11495709419250488,0.1171262264251709,0.13943839073181152,0.11299991607666016,0.11200261116027832,0.11428451538085938,0.11555361747741699
