Operation,Average,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
Indexing,11.836005592346192,11.868645429611206,11.773717403411865,11.729012966156006,11.907080888748169,11.977780103683472,11.868023157119751,11.829862117767334,11.852994203567505,11.798238754272461,11.754700899124146
Pos and qual filtering,0.030246829986572264,0.03495597839355469,0.031063318252563477,0.030509471893310547,0.03095841407775879,0.029047250747680664,0.02900218963623047,0.02895331382751465,0.029993772506713867,0.02899765968322754,0.02898693084716797
Read case and ctrl in to memory,0.00039973258972167967,0.0,0.0,0.0010433197021484375,0.0,0.0,0.0009367465972900391,0.001012563705444336,0.0,0.0010046958923339844,0.0
Case-control splitting,0.000900435447692871,0.0009987354278564453,0.0009622573852539062,0.0009987354278564453,0.001001119613647461,0.00099945068359375,0.0010669231414794922,0.0,0.0009911060333251953,0.0009918212890625,0.0009942054748535156
Read in to memory,0.06365396976470947,0.061994314193725586,0.06401705741882324,0.06499147415161133,0.06619071960449219,0.06395339965820312,0.06509113311767578,0.0650794506072998,0.0630788803100586,0.06409025192260742,0.058053016662597656
Total,11.931206560134887,11.966594457626343,11.869760036468506,11.826555967330933,12.005231142044067,12.07178020477295,11.964120149612427,11.924907445907593,11.947057962417603,11.893323183059692,11.842735052108765
