plot_type,n_variants,n_samples,n_values,dpi,average_mem,average_peak_mem,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,peak_memory_0,peak_memory_1,peak_memory_2,peak_memory_3,peak_memory_4,peak_memory_5,peak_memory_6,peak_memory_7,peak_memory_8,peak_memory_9
pcolorfast,500,10000,5000000,150,10440233.2,15434974.7,10470495,10477717,10304205,10467373,10478786,10476091,10316710,10471024,10467254,10472677,15464846,15472127,15298869,15462400,15473146,15470306,15311782,15465921,15462966,15467384
pcolormesh,500,10000,5000000,150,50529736.8,140702084.1,50567522,50401309,50558275,50561023,50560171,50568997,50397306,50557823,50559294,50565648,140739450,140573682,140731400,140733341,140732483,140740959,140569628,140730093,140731772,140738033
matshow,500,10000,5000000,150,10437853.4,15431268.9,10476226,10305758,10467945,10466894,10471640,10475850,10306184,10468476,10471426,10468135,15469145,15299180,15461335,15461213,15465146,15468615,15299200,15461708,15465689,15461458
imshow,500,10000,5000000,150,10437199.3,15430517.3,10474376,10305080,10471934,10466949,10466966,10475257,10307841,10468289,10467549,10467752,15467265,15298008,15465243,15460858,15460506,15468019,15300880,15461611,15461774,15461009
pcolorfast,500,10000,5000000,200,10442092.6,15436544.1,10479062,10482973,10479607,10477539,10313785,10465590,10467337,10472444,10478417,10304172,15472810,15477299,15473825,15471948,15308498,15460358,15462113,15467005,15472741,15298844
pcolormesh,500,10000,5000000,200,50529204.6,140701484.9,50560670,50559315,50562885,50567498,50397643,50557999,50557512,50564396,50566688,50397440,140733087,140731544,140735165,140739429,140569914,140730418,140729942,140736876,140738604,140569870
matshow,500,10000,5000000,200,10437543.8,15431029.5,10468166,10466878,10471419,10474023,10306428,10467842,10471013,10467245,10475779,10306645,15461535,15461047,15464907,15466800,15299643,15461511,15465410,15460583,15468801,15300058
imshow,500,10000,5000000,200,10437117.0,15430321.5,10472469,10465937,10467361,10471465,10308627,10467141,10465447,10465720,10483830,10303173,15465798,15459659,15460852,15463929,15301958,15460407,15459334,15458974,15476347,15295957
pcolorfast,5000,10,50000,50,10439588.1,15434471.1,10468614,10470078,10316189,10467600,10470465,10478409,10478282,10309697,10468406,10468141,15463410,15465249,15311106,15462501,15465846,15472820,15472507,15304366,15463255,15463651
pcolormesh,5000,10,50000,50,50534394.8,140706532.5,50560782,50565783,50418797,50570172,50571020,50570942,50400326,50559152,50560235,50566739,140733230,140737646,140590623,140741946,140742885,140742848,140572609,140732175,140732543,140738820
matshow,5000,10,50000,50,10436803.0,15430278.3,10477056,10305450,10466643,10465078,10467354,10479724,10303377,10466866,10467196,10469286,15469864,15298539,15459823,15459357,15460942,15472841,15297228,15460140,15460998,15463051
imshow,5000,10,50000,50,10436974.1,15430284.0,10475263,10304326,10465145,10466570,10472130,10475122,10306064,10468097,10469555,10467469,15467719,15297496,15458590,15460795,15465791,15467962,15298953,15461168,15463521,15460845
pcolorfast,5000,10,50000,100,10438818.8,15433608.9,10462440,10468225,10475010,10475774,10321300,10466697,10466107,10466800,10476144,10309691,15457306,15462975,15469536,15470272,15316329,15461441,15461665,15461660,15470550,15304355
pcolormesh,5000,10,50000,100,50528774.7,140701152.6,50559461,50559977,50563089,50564543,50396630,50560016,50558327,50562610,50567266,50395828,140732545,140732441,140735492,140736418,140569009,140732431,140730741,140735077,140739087,140568285
matshow,5000,10,50000,100,10441704.0,15434708.5,10469862,10466750,10470563,10475213,10323673,10479415,10480036,10476980,10308421,10466127,15462736,15461148,15463989,15468268,15315462,15472467,15473074,15469343,15301356,15459242
imshow,5000,10,50000,100,10437735.1,15430886.1,10465945,10476454,10477453,10305416,10468065,10466562,10465368,10479893,10304780,10467415,15459241,15469003,15469806,15298586,15461531,15460676,15458649,15472769,15297758,15460842
pcolorfast,5000,10,50000,150,10439564.2,15434355.8,10469283,10478301,10303754,10466528,10477342,10476891,10315906,10468981,10465961,10472695,15463898,15472516,15298768,15461537,15471842,15471342,15310875,15463816,15461274,15467690
pcolormesh,5000,10,50000,150,50529246.4,140701568.3,50567932,50399989,50557736,50561861,50559114,50568269,50396301,50560713,50558188,50562361,140739807,140572315,140730861,140734033,140731437,140740145,140568618,140733067,140730602,140734798
matshow,5000,10,50000,150,10437557.7,15431164.1,10476372,10304327,10468399,10466839,10472852,10474671,10305438,10467670,10471267,10467742,15469378,15297916,15462091,15461020,15466388,15467667,15298851,15461568,15465613,15461149
imshow,5000,10,50000,150,10442688.9,15435583.8,10476095,10305208,10472810,10468936,10468319,10473270,10326977,10478340,10477827,10479107,15468866,15298533,15466254,15462353,15461655,15465884,15318848,15470912,15470318,15472215
pcolorfast,5000,10,50000,200,10439047.2,15433724.0,10465343,10473780,10477166,10477634,10305291,10469758,10467448,10468184,10479973,10305895,15460071,15468106,15471488,15471846,15300059,15464718,15462994,15463062,15474223,15300673
pcolormesh,5000,10,50000,200,50528990.3,140701298.6,50558895,50557155,50560137,50567320,50402307,50559902,50556939,50560073,50571744,50395431,140731164,140729656,140732400,140739293,140574586,140732273,140729613,140732441,140743710,140567850
matshow,5000,10,50000,200,10436760.8,15430230.3,10465454,10465888,10467017,10479783,10305195,10467637,10466442,10470159,10473913,10306120,15458677,15460078,15460345,15472725,15298631,15461300,15460605,15463619,15466822,15299501
imshow,5000,10,50000,200,10437578.8,15430935.5,10466980,10471900,10467577,10473608,10304609,10472176,10467260,10466974,10474776,10309928,15460449,15466094,15460997,15466362,15297837,15465708,15461393,15460095,15467603,15302817
pcolorfast,5000,100,500000,50,10443792.6,15438523.8,10467396,10472168,10317132,10467525,10469457,10478089,10478425,10327430,10480350,10479954,15462290,15467319,15312290,15462493,15464832,15472566,15472935,15321277,15474861,15474375
pcolormesh,5000,100,500000,50,50530368.8,140702702.9,50571593,50399030,50559057,50560690,50567493,50568658,50396849,50560456,50559806,50560056,140743374,140571395,140732084,140733076,140739380,140740736,140569072,140733119,140732273,140732520
matshow,5000,100,500000,50,10437673.5,15431072.7,10480659,10303531,10468625,10466930,10470979,10474667,10303913,10468606,10466668,10472157,15473479,15296588,15462267,15461368,15464327,15467444,15297062,15461840,15460912,15465440
imshow,5000,100,500000,50,10437167.4,15430418.2,10474128,10304056,10468599,10471625,10466912,10474261,10306071,10471864,10467012,10467146,15466632,15296885,15461629,15465625,15460281,15467041,15298864,15465515,15460999,15460711
pcolorfast,5000,100,500000,100,10438733.7,15433500.6,10460163,10466920,10474754,10476195,10321038,10468454,10467821,10466742,10475679,10309571,15454925,15461827,15469122,15470541,15316053,15463339,15463246,15461656,15470020,15304277
pcolormesh,5000,100,500000,100,50530795.4,140703092.4,50560709,50558947,50562394,50564251,50398021,50558963,50557896,50564668,50566420,50415685,140733750,140731428,140734713,140736125,140570407,140731234,140730268,140737037,140738295,140587667
matshow,5000,100,500000,100,10441315.5,15434307.7,10480884,10477594,10480576,10309239,10468476,10467951,10472358,10481738,10306239,10468100,15473597,15470433,15473198,15302159,15461886,15460926,15465194,15474765,15299445,15461474
imshow,5000,100,500000,100,10437053.9,15430358.6,10467153,10467014,10479038,10304061,10467916,10465794,10467973,10480298,10303228,10468064,15461123,15460434,15471682,15297353,15461166,15459723,15461446,15472738,15296487,15461434
pcolorfast,5000,100,500000,150,10440494.1,15435272.0,10469600,10479167,10305464,10466572,10479316,10477974,10316729,10470250,10467363,10472506,15463968,15473819,15300295,15461383,15473581,15472536,15311908,15465029,15462927,15467274
pcolormesh,5000,100,500000,150,50529322.6,140701698.5,50569114,50400117,50557505,50559223,50558501,50568004,50397223,50559757,50559054,50564728,140740886,140572335,140730629,140731701,140730970,140739927,140569645,140732167,140731580,140737145
matshow,5000,100,500000,150,10437291.9,15430654.7,10476087,10302714,10467284,10467033,10472139,10475576,10305617,10467673,10470706,10468090,15468807,15295778,15460248,15461156,15465455,15468528,15298968,15461357,15464839,15461411
imshow,5000,100,500000,150,10443366.3,15436097.9,10474377,10323413,10479941,10479306,10479373,10313380,10467080,10466200,10472245,10478348,15467414,15315580,15472179,15471977,15471931,15306351,15460462,15459174,15464848,15471063
pcolorfast,5000,100,500000,200,10439060.1,15433915.9,10468254,10469395,10477514,10315562,10469421,10470337,10466585,10474920,10312962,10465651,15463218,15464957,15471839,15310528,15464088,15465656,15461296,15469440,15307730,15460407
pcolormesh,5000,100,500000,200,50528407.9,140700813.3,50558905,50559771,50564369,50404939,50557812,50558676,50556614,50563003,50400599,50559391,140731272,140732326,140736388,140577322,140730938,140731148,140729133,140734868,140573070,140731668
matshow,5000,100,500000,200,10436918.6,15430248.3,10468611,10468176,10478914,10304712,10467149,10467503,10472578,10473549,10302467,10465527,15462482,15461848,15471696,15297769,15460260,15461708,15466160,15466282,15295377,15458901
imshow,5000,100,500000,200,10437713.9,15431135.3,10470915,10468356,10474792,10304171,10472728,10467610,10467704,10474105,10309024,10467734,15465235,15461844,15467723,15297583,15465942,15461640,15461184,15467057,15302386,15460759
pcolorfast,5000,1000,5000000,50,10442930.8,15437396.6,10470036,10477455,10322796,10479277,10481486,10478203,10308738,10467885,10467265,10476167,15464589,15471914,15316647,15473652,15475647,15472620,15303412,15462812,15462067,15470606
pcolormesh,5000,1000,5000000,50,50529202.2,140701555.8,50569296,50395591,50557731,50559847,50558817,50570957,50397533,50558554,50558551,50565145,140741271,140568000,140730207,140732178,140731398,140742933,140569901,140731076,140731047,140737547
matshow,5000,1000,5000000,50,10437028.6,15430510.1,10474843,10303824,10467305,10466585,10472354,10475095,10305915,10466093,10471351,10466921,15467400,15296943,15460591,15460807,15466107,15467965,15299348,15459503,15465709,15460728
imshow,5000,1000,5000000,50,10436525.9,15429797.6,10473600,10305169,10474083,10465024,10465072,10473810,10308687,10467931,10465868,10466015,15466399,15298208,15467145,15459049,15458816,15466432,15301700,15461023,15459747,15459457
pcolorfast,5000,1000,5000000,100,10438801.7,15433652.2,10461810,10469910,10475463,10478558,10320240,10465267,10464498,10467291,10476407,10308573,15456769,15464860,15469903,15473062,15315272,15460158,15459995,15462451,15470678,15303374
pcolormesh,5000,1000,5000000,100,50533218.6,140705538.2,50559528,50560003,50562361,50564409,50415077,50571414,50569315,50570039,50399446,50560594,140732506,140732499,140734626,140736424,140587008,140743278,140741241,140742012,140571818,140733970
matshow,5000,1000,5000000,100,10437777.7,15431033.2,10467057,10470833,10482655,10305246,10466772,10464865,10467095,10480414,10305064,10467776,15460360,15463704,15475609,15298392,15460129,15459159,15460706,15473080,15298189,15461004
imshow,5000,1000,5000000,100,10436948.4,15430262.7,10466062,10467774,10479035,10304964,10467460,10466424,10471408,10474896,10304140,10467321,15460253,15461053,15472131,15297783,15460817,15460625,15464672,15467423,15297404,15460466
pcolorfast,5000,1000,5000000,150,10439643.3,15434346.7,10470561,10478038,10303489,10466535,10476544,10476508,10316519,10469784,10465705,10472750,15464909,15472342,15298098,15461298,15471060,15470963,15311389,15464393,15461311,15467704
pcolormesh,5000,1000,5000000,150,50529156.3,140701558.4,50568128,50400732,50558133,50559137,50559840,50567667,50395855,50559622,50557825,50564624,140740024,140573206,140731395,140731741,140732265,140739654,140568218,140731928,140730250,140736903
matshow,5000,1000,5000000,150,10442488.4,15435444.7,10475528,10304397,10468257,10467773,10472909,10473664,10324200,10478307,10481127,10478722,15468417,15297755,15461659,15461851,15465957,15466689,15315631,15471035,15473998,15471455
imshow,5000,1000,5000000,150,10437926.9,15430992.0,10308715,10467463,10465048,10476863,10477304,10303712,10467685,10466422,10468513,10477544,15301390,15460726,15457799,15469509,15470029,15297019,15460873,15460697,15461779,15470099
pcolorfast,5000,1000,5000000,200,10439101.2,15434070.2,10465996,10468996,10477385,10315568,10469129,10470007,10468302,10476308,10313539,10465782,15461050,15464603,15471780,15310643,15464026,15465669,15463260,15470733,15308299,15460639
pcolormesh,5000,1000,5000000,200,50528540.7,140700857.7,50559281,50559931,50563674,50403649,50557306,50559882,50558314,50564181,50400505,50558684,140731507,140732344,140735588,140575876,140730488,140732359,140730582,140736007,140572769,140731057
matshow,5000,1000,5000000,200,10437499.7,15430895.1,10467034,10467456,10478796,10306076,10467822,10467191,10472096,10475093,10305227,10468206,15461388,15461194,15471718,15299071,15460860,15461181,15465823,15468160,15298477,15461079
imshow,5000,1000,5000000,200,10440189.1,15433331.3,10471539,10467154,10473972,10304393,10471824,10466204,10465220,10474536,10326794,10480255,15465553,15460462,15466800,15297122,15465015,15460355,15458492,15467380,15319172,15472962
pcolorfast,5000,10000,50000000,50,10441777.6,15436449.6,10477528,10310653,10473738,10478564,10477899,10321434,10466507,10466788,10468549,10476116,15471689,15305372,15468160,15472976,15472062,15316250,15461375,15462403,15463527,15470682
pcolormesh,5000,10000,50000000,50,50529599.3,140702019.9,50401170,50560833,50560525,50564473,50564114,50395367,50558832,50558241,50564894,50567544,140573730,140733858,140732882,140736746,140736088,140567891,140731412,140730669,140737393,140739530
matshow,5000,10000,50000000,50,10437571.3,15431097.1,10306258,10467283,10466849,10472531,10475458,10305684,10466877,10472054,10467813,10474906,15299704,15460483,15461194,15466063,15468516,15299130,15460261,15466462,15461319,15467839
imshow,5000,10000,50000000,50,10438233.5,15431430.8,10305116,10473051,10466736,10466643,10475464,10309456,10466850,10467012,10467513,10484494,15298066,15466249,15460599,15459910,15468205,15302178,15460302,15460793,15460720,15477286
pcolorfast,5000,10000,50000000,100,10426605.0,15421473.3,10469436,10470421,10477416,10316825,10470483,10469366,10468165,10475364,10312798,10335776,15464229,15465923,15471876,15311786,15465437,15464860,15463125,15469819,15307517,15330161
pcolormesh,5000,10000,50000000,100,50533495.1,140705789.2,50572194,50572003,50570345,50401168,50559726,50558818,50567254,50409154,50559481,50564808,140744396,140744042,140742169,140573647,140732137,140731194,140739379,140581493,140732110,140737325
matshow,5000,10000,50000000,100,10437750.4,15431048.9,10467502,10476567,10307566,10466206,10473380,10468284,10471616,10307231,10466976,10472176,15460867,15469584,15300691,15459485,15466805,15461502,15464661,15300319,15460428,15466147
imshow,5000,10000,50000000,100,10436987.4,15430042.4,10467943,10471058,10307120,10466023,10471720,10467328,10472214,10308619,10471108,10466741,15461189,15463850,15299991,15458812,15465359,15460692,15464792,15301301,15464123,15460315
pcolorfast,5000,10000,50000000,150,10438806.2,15433574.1,10474937,10307710,10467807,10471696,10477557,10481730,10305391,10466774,10466669,10467791,15469448,15302478,15462513,15466100,15472065,15476345,15300214,15461662,15462321,15462595
pcolormesh,5000,10000,50000000,150,50529169.4,140701471.4,50565665,50400090,50559298,50558726,50558878,50570661,50397417,50560198,50560062,50560699,140737639,140572681,140731575,140730996,140731196,140742619,140569803,140732651,140732385,140733169
matshow,5000,10000,50000000,150,10443826.9,15436771.2,10480779,10323374,10480368,10477344,10482583,10310332,10465611,10467678,10472408,10477792,15473568,15315444,15472958,15470594,15475398,15303199,15459211,15461369,15465411,15470560
imshow,5000,10000,50000000,150,10437102.5,15430424.8,10308961,10468026,10466111,10470791,10475463,10303173,10465064,10466818,10471629,10474989,15301896,15461054,15459844,15464032,15468179,15296645,15458510,15461043,15465130,15467915
pcolorfast,5000,10000,50000000,200,10438794.5,15433727.8,10466722,10470015,10477293,10315708,10466937,10469002,10468450,10475460,10312624,10465734,15461438,15465541,15471749,15310631,15461742,15464467,15463452,15469970,15307644,15460644
pcolormesh,5000,10000,50000000,200,50528864.9,140701247.8,50560460,50557646,50564113,50404326,50556351,50561183,50556976,50565489,50402253,50559852,140732795,140730041,140736091,140576643,140729512,140733704,140729394,140737360,140574664,140732274
matshow,5000,10000,50000000,200,10437245.5,15430513.4,10468041,10467923,10478670,10302857,10466946,10466586,10472831,10475060,10305546,10467995,15462036,15461498,15471255,15295785,15460115,15460957,15465873,15467521,15298739,15461355
imshow,5000,10000,50000000,200,10441361.3,15434305.8,10471131,10465319,10474396,10321811,10481584,10476141,10478100,10313256,10466272,10465603,15465346,15458552,15467103,15313741,15474225,15469049,15470271,15306307,15459613,15458851
pcolorfast,50000,10,500000,50,10439185.4,15433943.2,10475619,10309268,10467060,10472600,10479067,10481560,10306229,10467565,10466810,10466076,15469952,15304236,15461813,15467154,15473665,15476018,15301104,15462475,15462169,15460846
pcolormesh,50000,10,500000,50,50529578.1,140701878.4,50567860,50401502,50559902,50558786,50559625,50572465,50396647,50559387,50559567,50560040,140739786,140573816,140732169,140731310,140731982,140744380,140569070,140731853,140731886,140732532
matshow,50000,10,500000,50,10437677.0,15431103.7,10480752,10305686,10467372,10466787,10472821,10473984,10304877,10467433,10469750,10467308,15473699,15298757,15461164,15460786,15466548,15466954,15298122,15460328,15463892,15460787
imshow,50000,10,500000,50,10437584.8,15430781.3,10474947,10306003,10473321,10467694,10466507,10474152,10311067,10467807,10466368,10467982,15467797,15298916,15466159,15461435,15459737,15466684,15304068,15461405,15460368,15461244
pcolorfast,50000,10,500000,100,10428521.4,15423052.1,10462711,10470214,10473734,10477704,10322155,10335321,10479685,10478430,10478287,10306973,15457560,15464920,15468230,15472071,15317138,15329776,15473997,15472693,15472493,15301643
pcolormesh,50000,10,500000,100,50530341.9,140702704.9,50562018,50558327,50571973,50407461,50557060,50557688,50559405,50568238,50404206,50557043,140734433,140730750,140743906,140579951,140729472,140729959,140731921,140740116,140576524,140730017
matshow,50000,10,500000,100,10437244.5,15430712.7,10470418,10467359,10476211,10305526,10466770,10466665,10471776,10474146,10304484,10469090,15463792,15461651,15469217,15298543,15460165,15460855,15465219,15467172,15298225,15462288
imshow,50000,10,500000,100,10437137.8,15430391.7,10471984,10467207,10472489,10304315,10472859,10467639,10466493,10473198,10309023,10466171,15466083,15460440,15465209,15297350,15466199,15461663,15459755,15465801,15301946,15459471
pcolorfast,50000,10,500000,150,10440086.0,15434837.2,10469846,10477571,10304737,10467659,10477958,10476276,10316298,10471652,10467822,10471041,15464360,15472035,15299454,15462507,15472217,15470728,15311170,15466528,15463324,15466049
pcolormesh,50000,10,500000,150,50534894.4,140707088.2,50568937,50401032,50557615,50561014,50558403,50569216,50414790,50572829,50570315,50574793,140741061,140573487,140730682,140733384,140730663,140741046,140586809,140744846,140742288,140746616
matshow,50000,10,500000,150,10437707.2,15430967.7,10309948,10466054,10467512,10470813,10476679,10306176,10465187,10466986,10472655,10475062,15302770,15459515,15461157,15463877,15469785,15299461,15458672,15460909,15465783,15467748
imshow,50000,10,500000,150,10437328.4,15430498.1,10305255,10467709,10467307,10471144,10474855,10305122,10467061,10467118,10471685,10476028,15298226,15460892,15461220,15464652,15467697,15297905,15460081,15460883,15464603,15468822
pcolorfast,50000,10,500000,200,10439310.7,15434252.8,10468399,10470190,10477299,10316717,10469132,10470125,10468544,10474565,10311609,10466527,15463612,15465562,15471654,15311738,15464030,15465775,15463381,15469066,15306461,15461249
pcolormesh,50000,10,500000,200,50528549.2,140700917.1,50558409,50558378,50564106,50404230,50556265,50559747,50558249,50564230,50402845,50559033,140730776,140730857,140736090,140576544,140729432,140732221,140730650,140736044,140575063,140731494
matshow,50000,10,500000,200,10440655.9,15433884.1,10467835,10467378,10478516,10304945,10468132,10467323,10472758,10475935,10324086,10479651,15462027,15460981,15471540,15298230,15461567,15461503,15466157,15468498,15316002,15472336
imshow,50000,10,500000,200,10438870.2,15431885.6,10479361,10478764,10308537,10468487,10466898,10475321,10476453,10301732,10466232,10466917,15472102,15471480,15301368,15461654,15460069,15467872,15469068,15295046,15459132,15461065
pcolorfast,50000,100,5000000,50,10440518.5,15435219.9,10477825,10305930,10468220,10475024,10478180,10321612,10467363,10466215,10467788,10477028,15472091,15300654,15463136,15469341,15472514,15316539,15462153,15461718,15462648,15471405
pcolormesh,50000,100,5000000,50,50529066.3,140701405.5,50401132,50559838,50559631,50562325,50564899,50395317,50558288,50559595,50563798,50565840,140573450,140732806,140732187,140734689,140736868,140567729,140730561,140731922,140736083,140737760
matshow,50000,100,5000000,50,10437100.2,15430622.4,10305799,10466714,10465661,10471400,10473997,10305498,10467154,10471339,10468208,10475232,15298920,15460257,15460138,15465153,15466863,15298704,15460728,15465632,15461835,15467994
imshow,50000,100,5000000,50,10437812.5,15431199.3,10303222,10473324,10467309,10467291,10473828,10309584,10467009,10465508,10467470,10483580,15296321,15466726,15461397,15460653,15466681,15303106,15460399,15459525,15460699,15476486
pcolorfast,50000,100,5000000,100,10441991.6,15436573.8,10482433,10480037,10479010,10309767,10468466,10469449,10473351,10479024,10309789,10468590,15476759,15474348,15473418,15304635,15463279,15464420,15467565,15473348,15304557,15463409
pcolormesh,50000,100,5000000,100,50529544.8,140701867.6,50558533,50560525,50567815,50402084,50559592,50558243,50559991,50566602,50402413,50559650,140730913,140732849,140739641,140574544,140732011,140730607,140732553,140738637,140574873,140732048
matshow,50000,100,5000000,100,10437096.1,15430519.0,10468380,10467982,10480086,10305814,10467722,10465525,10470990,10474793,10302890,10466779,15462473,15461635,15473051,15298885,15461285,15459613,15464433,15467921,15295789,15460105
imshow,50000,100,5000000,100,10437358.6,15430720.3,10471272,10467201,10474877,10304551,10471471,10465629,10466857,10474589,10309159,10467980,15465343,15460562,15467617,15297908,15464696,15459943,15460410,15467387,15302261,15461076
pcolorfast,50000,100,5000000,150,10439859.9,15434648.8,10469770,10476868,10301454,10468943,10478724,10477364,10315383,10471016,10465824,10473253,15464213,15471228,15296017,15463974,15473129,15471871,15310509,15465806,15461530,15468211
pcolormesh,50000,100,5000000,150,50519833.3,140691958.2,50566943,50400638,50430127,50571977,50569567,50572391,50396122,50560618,50556731,50573219,140738712,140573387,140602185,140743847,140741439,140744308,140568591,140732988,140729088,140745037
matshow,50000,100,5000000,150,10438861.3,15432338.2,10317698,10467744,10467310,10466458,10476361,10313981,10466136,10466007,10469091,10477827,15312042,15460821,15461730,15460077,15469070,15306864,15459635,15459790,15462499,15470854
imshow,50000,100,5000000,150,10436873.0,15429934.2,10307667,10466081,10465287,10472670,10472507,10307681,10467255,10470702,10467119,10471761,15300602,15459394,15458509,15465901,15465233,15300404,15460264,15463995,15460515,15464525
pcolorfast,50000,100,5000000,200,10438077.7,15432921.7,10466638,10467728,10471779,10476153,10306549,10469377,10469014,10467600,10480013,10305926,15461399,15463228,15466226,15470602,15301433,15464128,15464634,15462313,15474521,15300733
pcolormesh,50000,100,5000000,200,50529513.9,140701795.1,50561860,50559744,50558096,50566308,50401633,50559567,50559541,50559339,50570867,50398184,140734141,140732115,140730418,140738211,140573949,140731896,140732007,140731801,140742843,140570570
matshow,50000,100,5000000,200,10442473.5,15435506.8,10468385,10466505,10468419,10478562,10324667,10479980,10478693,10483329,10309269,10466926,15461794,15460839,15461667,15471675,15316515,15472389,15471446,15476086,15302406,15460251
imshow,50000,100,5000000,200,10437701.6,15430750.9,10466180,10472471,10477838,10306471,10467350,10467493,10472559,10474390,10304027,10468237,15459331,15465013,15470205,15299887,15460125,15461737,15466080,15467028,15296757,15461346
pcolorfast,50000,1000,50000000,50,10439558.3,15434327.3,10470110,10478822,10302321,10465468,10477884,10476104,10314500,10468908,10468535,10472931,15464621,15473187,15297133,15460368,15472377,15470505,15309370,15463796,15464132,15467784
pcolormesh,50000,1000,50000000,50,50529191.3,140701582.8,50569503,50400669,50557009,50558173,50558448,50567864,50396914,50560541,50558443,50564349,140741523,140573000,140730043,140730500,140730767,140740038,140569182,140733126,140730776,140736873
matshow,50000,1000,50000000,50,10437630.8,15431126.4,10475880,10304738,10469321,10466715,10473920,10474074,10304529,10467834,10471600,10467697,15468691,15298325,15462645,15460731,15467270,15466699,15297686,15461631,15466207,15461379
imshow,50000,1000,50000000,50,10442546.7,15435481.9,10474671,10304691,10471561,10467946,10467707,10474449,10326592,10479708,10479279,10478863,15467534,15297920,15464869,15462001,15460831,15467152,15318952,15472184,15471737,15471639
pcolorfast,50000,1000,50000000,100,10439046.6,15433745.8,10466572,10473916,10478133,10476638,10306093,10470528,10467471,10466897,10479543,10304675,15461191,15468251,15472506,15471139,15300814,15465240,15462881,15461935,15473996,15299505
pcolormesh,50000,1000,50000000,100,50529024.1,140701277.5,50559054,50558230,50559824,50566999,50401905,50560778,50559186,50558834,50570410,50395021,140731271,140730548,140732237,140738972,140574123,140733099,140731709,140731105,140742373,140567338
matshow,50000,1000,50000000,100,10437534.8,15430922.2,10467363,10466795,10467769,10479892,10305970,10467294,10465404,10473403,10474860,10306598,15460871,15460913,15461054,15472686,15299418,15460515,15459433,15466687,15467874,15299771
imshow,50000,1000,50000000,100,10437335.7,15430660.0,10467791,10470695,10467240,10475326,10304214,10471765,10466476,10466643,10474136,10309071,15461016,15464990,15460647,15467978,15297449,15465117,15460519,15459964,15467052,15301868
pcolorfast,50000,1000,50000000,150,10443476.1,15438207.4,10468692,10471489,10316285,10466177,10471044,10477515,10478215,10326601,10481011,10477732,15463761,15466781,15311390,15461028,15466674,15471863,15472478,15320547,15475461,15472091
pcolormesh,50000,1000,50000000,150,50529740.1,140702059.1,50569496,50398519,50557827,50559857,50568289,50569987,50397242,50559750,50558096,50558338,140741266,140570900,140730955,140732316,140740205,140741865,140569668,140732154,140730408,140730854
matshow,50000,1000,50000000,150,10437568.4,15431021.0,10478048,10302958,10467809,10467529,10472909,10474587,10306423,10467662,10465878,10471881,15470570,15296310,15461074,15461740,15466353,15467545,15299487,15461113,15460430,15465588
imshow,50000,1000,50000000,150,10437010.4,15430249.5,10474465,10303999,10467674,10469104,10468446,10474834,10305425,10472208,10467196,10466753,15467323,15296959,15460651,15463182,15461763,15467335,15298408,15465323,15461192,15460359
pcolorfast,50000,1000,50000000,200,10439519.6,15434394.9,10461850,10470022,10476216,10476318,10322391,10468275,10466759,10467766,10476243,10309356,15456672,15464921,15470644,15470789,15317509,15463151,15462679,15462614,15470742,15304228
pcolormesh,50000,1000,50000000,200,50529840.7,140702142.1,50557497,50559055,50562226,50563125,50397425,50558101,50558725,50563931,50564671,50413651,140730525,140731441,140734592,140734999,140569891,140730572,140731192,140736250,140736534,140585425
matshow,50000,1000,50000000,200,10440317.8,15433343.0,10479744,10477566,10479401,10308664,10468536,10466122,10471489,10481293,10305187,10465176,15472385,15470311,15471815,15301808,15461625,15459894,15464524,15474205,15298218,15458645
imshow,50000,1000,50000000,200,10436939.4,15430191.9,10467419,10466317,10479523,10304915,10467326,10465967,10467042,10478522,10304432,10467931,15461473,15459477,15471841,15297708,15460638,15460030,15460546,15471456,15297370,15461380
pcolorfast,50000,10000,500000000,50,10440279.4,15435001.1,10468957,10478899,10305258,10467820,10478723,10477497,10316848,10469393,10467489,10471910,15463174,15473250,15299923,15462675,15473122,15471955,15311781,15464262,15463060,15466809
pcolormesh,50000,10000,500000000,50,50529540.7,140701888.9,50567555,50400657,50557734,50560182,50559966,50569875,50397614,50559033,50559504,50563287,140739482,140572974,140730841,140732502,140732281,140741859,140569881,140731401,140731970,140735698
matshow,50000,10000,500000000,50,10437311.3,15430779.8,10475211,10305341,10467513,10466546,10473302,10475455,10303645,10466907,10472736,10466457,15468135,15298353,15461119,15461122,15466548,15468058,15296967,15460541,15466913,15460042
imshow,50000,10000,500000000,50,10443295.6,15436089.2,10475226,10322216,10481927,10479513,10478363,10313537,10464891,10466666,10473392,10477225,15468098,15314377,15474478,15471709,15471104,15306313,15458351,15460111,15466256,15470095
pcolorfast,50000,10000,500000000,100,10439290.9,15434208.3,10468689,10469012,10478206,10316181,10469265,10469540,10467719,10476211,10312578,10465508,15463504,15464386,15472724,15311161,15464257,15465055,15462771,15470673,15307194,15460358
pcolormesh,50000,10000,500000000,100,50528918.2,140701349.5,50559813,50559287,50564927,50405234,50558680,50560413,50558507,50563985,50399966,50558370,140732186,140731616,140737003,140577696,140731659,140733142,140731059,140736058,140572337,140730739
matshow,50000,10000,500000000,100,10437633.4,15431146.5,10467129,10467990,10479679,10305067,10467939,10467960,10472103,10476358,10304191,10467918,15461234,15461326,15472546,15298353,15461159,15462286,15465623,15469517,15297915,15461506
