plot_type,n_variants,n_samples,n_values,dpi,average,cycle_0,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9
pcolormesh,500,10,5000,100,0.007300686836242676,0.006899356842041016,0.007020473480224609,0.007082700729370117,0.008997440338134766,0.0070056915283203125,0.007006406784057617,0.0069887638092041016,0.0068967342376708984,0.008101224899291992,0.007008075714111328
matshow,500,10,5000,100,0.008688879013061524,0.007904767990112305,0.007001638412475586,0.0069980621337890625,0.007995843887329102,0.006093740463256836,0.007005453109741211,0.006998777389526367,0.006992816925048828,0.023897409439086914,0.0060002803802490234
imshow,500,10,5000,100,0.006600022315979004,0.007001399993896484,0.00600123405456543,0.0069980621337890625,0.00699925422668457,0.006000518798828125,0.00700068473815918,0.005998849868774414,0.006999969482421875,0.006000041961669922,0.0070002079010009766
pcolorfast,500,10,5000,150,0.00670008659362793,0.005999088287353516,0.007001399993896484,0.0069997310638427734,0.00599980354309082,0.007001161575317383,0.0069980621337890625,0.007001399993896484,0.005999326705932617,0.0070002079010009766,0.00700068473815918
pcolormesh,500,10,5000,150,0.007199978828430176,0.007999658584594727,0.007000446319580078,0.005999326705932617,0.006998777389526367,0.00800180435180664,0.00699925422668457,0.0069997310638427734,0.007000446319580078,0.008001089096069336,0.00699925422668457
matshow,500,10,5000,150,0.006999993324279785,0.007999897003173828,0.0060002803802490234,0.008006572723388672,0.00699305534362793,0.006000041961669922,0.007999897003173828,0.0069997310638427734,0.0060002803802490234,0.0069997310638427734,0.007000446319580078
imshow,500,10,5000,150,0.00670008659362793,0.006999492645263672,0.00599980354309082,0.00700068473815918,0.0070002079010009766,0.005999326705932617,0.006999969482421875,0.007000446319580078,0.0070002079010009766,0.006004810333251953,0.0069959163665771484
pcolorfast,500,10,5000,200,0.006800103187561035,0.006001472473144531,0.0059986114501953125,0.007002830505371094,0.007998943328857422,0.005999326705932617,0.007001399993896484,0.00699925422668457,0.006999492645263672,0.006999492645263672,0.0070002079010009766
pcolormesh,500,10,5000,200,0.00710000991821289,0.007000446319580078,0.007000446319580078,0.0069997310638427734,0.007998466491699219,0.007001638412475586,0.006999969482421875,0.007000446319580078,0.006999969482421875,0.00800013542175293,0.005998849868774414
matshow,500,10,5000,200,0.00710000991821289,0.008002519607543945,0.005997657775878906,0.0070002079010009766,0.00800013542175293,0.005999326705932617,0.007999897003173828,0.007000923156738281,0.0070002079010009766,0.007999420166015625,0.00599980354309082
imshow,500,10,5000,200,0.0067999839782714845,0.0070002079010009766,0.007000446319580078,0.0070002079010009766,0.00699925422668457,0.0060002803802490234,0.0069997310638427734,0.007001399993896484,0.005998849868774414,0.00800013542175293,0.005999326705932617
pcolorfast,500,100,50000,50,0.006800079345703125,0.006000041961669922,0.0070002079010009766,0.006999969482421875,0.006999492645263672,0.0070018768310546875,0.005998373031616211,0.00799870491027832,0.0070018768310546875,0.005999088287353516,0.007001161575317383
pcolormesh,500,100,50000,50,0.01120009422302246,0.008999824523925781,0.010998964309692383,0.0279996395111084,0.008001089096069336,0.009000301361083984,0.008997917175292969,0.011001110076904297,0.008999824523925781,0.009105682373046875,0.008896589279174805
matshow,500,100,50000,50,0.006899833679199219,0.008113861083984375,0.00599217414855957,0.006994962692260742,0.005998373031616211,0.007008075714111328,0.007992744445800781,0.0059130191802978516,0.008002042770385742,0.006000518798828125,0.006982564926147461
imshow,500,100,50000,50,0.006600284576416015,0.008000612258911133,0.006000518798828125,0.0059986114501953125,0.00599980354309082,0.006999969482421875,0.006999969482421875,0.007001161575317383,0.005999088287353516,0.007014036178588867,0.00598907470703125
pcolorfast,500,100,50000,100,0.006799960136413574,0.006000518798828125,0.00700068473815918,0.006999492645263672,0.005999565124511719,0.008000373840332031,0.006999492645263672,0.006000041961669922,0.0070002079010009766,0.0060007572174072266,0.007998466491699219
pcolormesh,500,100,50000,100,0.009399962425231934,0.009998559951782227,0.00900125503540039,0.009000778198242188,0.00899958610534668,0.010999917984008789,0.008999824523925781,0.009000539779663086,0.008000373840332031,0.009001493453979492,0.010997295379638672
matshow,500,100,50000,100,0.009000253677368165,0.007002592086791992,0.007000923156738281,0.006999015808105469,0.005999565124511719,0.025001049041748047,0.008001089096069336,0.0070002079010009766,0.007998466491699219,0.00800013542175293,0.006999492645263672
